0 1 {'t': [0], 'w': [0.01]}
0 2 {'t': [0], 'w': [0.001]}
0 38 {'t': [16], 'w': [0.11557478368355995]}
0 9 {'t': [22], 'w': [0.01]}
0 14 {'t': [24], 'w': [0.001]}
0 22 {'t': [54], 'w': [0.1]}
0 41 {'t': [64], 'w': [0.30263409656228074]}
1 3 {'t': [0], 'w': [0.0058970385674931266]}
1 17 {'t': [6], 'w': [0.001]}
1 37 {'t': [8, 49], 'w': [0.2121709271270507, 0.2121709271270507]}
1 36 {'t': [38], 'w': [0.10170161205352438]}
2 10 {'t': [10], 'w': [0.01]}
2 22 {'t': [13], 'w': [0.05975697910571065]}
2 38 {'t': [17], 'w': [0.01]}
2 52 {'t': [21], 'w': [0.01]}
2 42 {'t': [33], 'w': [0.1]}
2 25 {'t': [42], 'w': [0.01]}
2 33 {'t': [47], 'w': [0.1]}
2 21 {'t': [55], 'w': [0.001]}
2 23 {'t': [55], 'w': [0.01]}
2 16 {'t': [61], 'w': [0.001]}
2 36 {'t': [67], 'w': [0.01]}
3 49 {'t': [19], 'w': [0.001]}
3 28 {'t': [37], 'w': [0.01]}
3 20 {'t': [44], 'w': [0.1]}
3 44 {'t': [63], 'w': [0.001]}
3 50 {'t': [67], 'w': [0.1]}
4 2 {'t': [0], 'w': [0.1]}
4 11 {'t': [1], 'w': [0.01]}
4 17 {'t': [24], 'w': [0.001]}
4 16 {'t': [33], 'w': [0.01]}
4 45 {'t': [37], 'w': [0.001]}
4 44 {'t': [45], 'w': [0.01]}
4 13 {'t': [51], 'w': [0.1]}
4 29 {'t': [68], 'w': [0.1]}
5 6 {'t': [0], 'w': [0.001]}
5 23 {'t': [3], 'w': [0.001]}
5 34 {'t': [25], 'w': [0.01]}
5 53 {'t': [32], 'w': [0.001]}
5 39 {'t': [44], 'w': [0.1]}
5 14 {'t': [45], 'w': [0.15070688365798937]}
5 13 {'t': [46], 'w': [0.01]}
5 7 {'t': [48], 'w': [0.001]}
5 52 {'t': [59], 'w': [0.14902560183416125]}
5 9 {'t': [68], 'w': [0.001]}
6 31 {'t': [16], 'w': [0.01]}
6 44 {'t': [21, 54], 'w': [0.001, 0.001]}
6 40 {'t': [45], 'w': [0.01]}
6 29 {'t': [50], 'w': [0.01]}
6 27 {'t': [56], 'w': [0.01]}
6 28 {'t': [57], 'w': [0.001]}
7 8 {'t': [0], 'w': [0.022451655195018072]}
7 9 {'t': [1], 'w': [0.01]}
7 21 {'t': [2, 17], 'w': [0.01, 0.01]}
7 14 {'t': [4], 'w': [0.01]}
7 17 {'t': [20], 'w': [0.01]}
7 23 {'t': [26], 'w': [0.14565513219284604]}
7 24 {'t': [48], 'w': [0.1041035067198205]}
7 42 {'t': [51], 'w': [0.3309650680876258]}
7 3 {'t': [53], 'w': [0.19524793388429754]}
7 18 {'t': [63], 'w': [0.24793215370118316]}
8 6 {'t': [10], 'w': [0.1]}
8 18 {'t': [30], 'w': [0.1]}
8 17 {'t': [31, 33], 'w': [0.001, 0.001]}
8 16 {'t': [36], 'w': [0.01]}
8 13 {'t': [45], 'w': [0.001]}
8 30 {'t': [45], 'w': [0.1]}
8 26 {'t': [59], 'w': [0.2682255845942228]}
8 34 {'t': [62], 'w': [0.1687078230442389]}
8 45 {'t': [67], 'w': [0.1]}
8 4 {'t': [67], 'w': [0.001]}
8 53 {'t': [68], 'w': [0.01]}
9 10 {'t': [1], 'w': [0.1]}
9 34 {'t': [5], 'w': [0.01]}
9 22 {'t': [12, 42], 'w': [0.001, 0.001]}
9 51 {'t': [46], 'w': [0.001]}
9 28 {'t': [48], 'w': [0.01]}
9 37 {'t': [52], 'w': [0.001]}
10 38 {'t': [14], 'w': [0.10366333295875943]}
10 50 {'t': [30], 'w': [0.01]}
10 6 {'t': [34], 'w': [0.001]}
10 24 {'t': [41], 'w': [0.01]}
10 34 {'t': [67], 'w': [0.01]}
11 12 {'t': [1], 'w': [0.001]}
